"Assured Lives, Males Investigation 1, Duration 00+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In-Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.00,100373.50,103818.50,103823.50,102671.50,103367.00,103946.00,101316.50,98094.50,94097.00,85965.50,82109.50,98564.00,115610.50,114962.00,112120.00,114057.50,117983.50,122884.00,127990.50,131143.00,131827.50,134259.00,136187.50,141455.50,144430.00,147877.50,156379.00,163900.50,169419.10,175742.00,178398.50,181748.40,177884.60,182246.90,201413.70,210706.20,208476.70,192793.10,210553.50,210641.40,158088.50,134436.40,123755.10,111303.90,102319.90,94303.00,85654.60,76982.20,69707.50,57144.40,54114.60,44243.50,49053.70,42765.40,44243.60,34490.50,26845.50,17928.50,14953.50
40.00,101500.00,107178.00,108295.50,107401.50,106011.50,106459.00,106941.50,104829.00,101887.50,97657.00,89663.50,85632.00,102530.50,120555.00,119723.00,116820.00,118697.50,122930.50,129038.00,133282.50,132509.00,133882.50,136107.50,142431.50,146848.50,150543.00,154858.50,159841.00,167194.80,173281.40,175734.20,182478.10,185087.00,179539.30,181693.60,194285.40,207480.60,199526.10,191870.90,203517.20,181314.50,153515.70,139169.80,123811.80,111427.10,101076.50,92311.60,82024.70,73667.10,59883.40,56019.40,46006.60,50355.30,43096.70,45032.60,35821.50,28241.50,19656.00,16604.50
41.00,100908.50,107823.50,111389.50,111691.00,110535.50,108914.00,109292.00,110143.50,108348.50,105256.00,101324.00,93227.00,89070.50,106846.50,125334.50,124589.00,121402.50,123407.50,128862.00,134156.00,134554.00,134285.00,135684.50,142402.00,147789.50,152470.50,156880.00,157737.50,162476.90,170324.00,172824.70,179401.40,185734.30,186806.70,179191.70,174982.70,191512.10,199248.70,198854.10,185657.40,177507.60,178102.40,158692.90,138890.40,123484.80,109807.70,98705.30,88258.10,78507.30,63072.90,58665.30,47551.50,52554.20,44264.40,45263.10,36623.00,29284.00,20912.50,18265.00
42.00,101394.00,106270.00,111395.00,114162.50,114195.50,112979.50,111344.50,112032.00,113312.00,111324.50,108649.50,104681.00,96021.00,92161.00,110682.00,130076.50,129096.50,125842.00,128965.00,133435.50,134805.50,135783.50,135663.50,141121.50,146841.50,152571.50,158343.50,159370.00,159684.20,164892.80,169428.50,176196.10,182091.10,186696.10,186121.30,172557.60,172881.40,183964.90,198439.90,192601.30,161020.90,173251.40,183231.40,157995.00,137926.90,121249.90,106963.40,94238.60,84456.70,67220.60,61724.40,49714.20,53957.10,46029.40,46267.50,36928.00,29815.50,21843.50,19428.00
43.00,101984.00,106299.00,109392.00,113770.50,116342.00,116349.50,115192.50,113714.50,114719.00,115912.00,114666.50,112175.00,107519.50,98853.50,95086.50,114296.00,134071.50,133318.00,131326.00,133520.00,133949.50,135584.00,136617.00,140877.50,145183.00,151052.50,157671.00,160465.50,161056.60,161736.80,163802.60,172432.10,178729.70,183366.50,186306.20,179631.70,170734.00,166023.30,183217.90,192087.40,167114.70,156764.10,177596.10,182187.80,156464.60,134726.10,117556.20,101949.10,90090.40,72403.70,65651.90,52654.10,56233.10,47183.10,47824.20,38091.50,30166.00,22445.00,20291.50
44.00,101265.50,106043.00,108861.50,111404.00,115696.00,118098.50,118051.00,117166.00,115919.00,116889.00,118930.50,117697.00,114528.50,110113.00,101280.50,97454.00,116993.00,137690.50,138769.00,135626.50,133427.00,134074.00,136120.00,141337.50,143939.00,148737.50,155692.00,159234.00,161747.10,162539.00,160194.40,166281.40,174554.80,179705.40,182481.70,179540.10,177997.40,164171.00,165608.90,177355.60,167307.90,162738.80,160530.80,176126.40,179719.50,152401.40,130146.80,111812.20,97330.40,77220.70,70487.10,56015.70,59166.50,49371.00,48875.60,39535.00,31069.50,22729.50,20893.50
45.00,99711.00,104344.00,107601.50,109929.00,112384.50,116595.00,119095.00,119439.50,118845.50,117424.00,119159.50,121331.50,119560.00,116742.00,112307.00,103309.50,99369.00,119542.50,142384.00,142383.50,134635.00,132486.00,133491.00,140097.50,143836.50,146474.00,152345.00,156111.00,159448.60,162479.30,160289.40,161806.30,167465.10,174823.50,178465.50,175045.60,177637.20,170739.60,163641.80,160204.10,154240.20,162558.30,165478.90,158770.40,173188.30,174479.80,146631.20,123287.20,106313.50,83200.40,74968.90,60053.40,62313.00,51873.10,50891.30,40561.00,32254.50,23447.50,21220.00
46.00,97290.00,102456.50,105656.00,108304.00,110586.50,113083.00,117439.50,120150.00,120501.50,119829.50,119271.50,121108.00,122955.50,121434.00,118478.50,114108.00,104879.00,100665.00,122899.50,145564.50,141287.00,133912.50,132072.50,137268.00,142423.50,145992.00,149553.50,152821.00,156303.10,159894.60,160192.60,161785.70,162800.40,167511.10,173429.90,170960.40,173776.90,171065.50,170559.60,158173.00,139304.50,150003.40,165089.40,163830.20,155732.50,167503.20,167433.40,138467.20,117185.10,91072.40,80691.20,64015.40,66414.20,54427.10,52955.40,42240.50,33133.50,24318.50,21854.00
47.00,93844.00,99488.00,103372.50,106134.00,108685.00,110899.50,113491.50,117929.00,120868.50,121195.50,121145.50,120660.00,122168.00,124334.00,122751.50,119925.50,115433.00,106169.50,103391.00,124863.50,143553.00,139854.50,132860.00,135307.00,139096.50,143987.50,148548.50,149431.00,152378.20,156202.30,157260.10,161308.90,162430.40,162701.90,166155.90,166402.40,170172.10,167486.80,171134.60,164988.10,136998.70,134808.10,151832.80,163191.20,160105.90,149861.70,160137.40,157710.50,131434.60,100476.10,87989.60,69014.20,70602.30,57891.40,55364.70,44147.50,34362.50,24699.00,22630.00
48.00,87999.00,95593.00,100142.50,103618.00,106220.50,108670.00,111022.00,113724.50,118177.00,120941.50,122278.00,122488.00,121290.00,123074.00,125093.50,123635.50,120770.00,116515.50,108649.50,104882.50,122826.00,141803.00,138599.50,135806.50,136767.00,140325.50,145965.00,148052.50,148622.20,151841.50,153257.50,157760.60,161555.60,162083.70,161214.50,159408.90,165903.10,164078.80,167476.20,165710.40,143143.20,132634.60,136358.00,150212.20,159362.70,153882.70,142535.00,150375.90,149493.90,112922.70,96697.90,75190.90,75710.90,61198.30,58543.80,46272.50,35885.50,25314.50,23115.00
